Category,Year,Month,precip_mm
China,1988,4,18.149029
China,1988,4,64.23132
China,1988,4,65.78542
Japan,1988,4,99.24684
Kazakhstan,1988,4,19.124884
Iran,1988,4,97.86424
Turkiye,1988,4,89.553986
India,1989,2,10.216614
India,1989,2,0.0
India,1989,2,0.514377
Pakistan,1989,2,0.0
Bangladesh,1989,2,27.824614
Nepal,1989,2,0.0
SriLanka,1989,2,14.993778
Thailand,1989,2,6.6819644
VietNam,1989,2,0.0
Indonesia,1989,2,493.42432
Philippines,1989,2,10.091136
Myanmar,1989,2,1.2997915
Cambodia,1989,2,0.8423302
China,1989,2,15.848205
China,1989,2,8.015923
China,1989,2,32.12946
Japan,1989,2,200.19617
Kazakhstan,1989,2,36.7613
Iran,1989,2,35.12889
Turkiye,1989,2,4.478106
India,1989,3,28.250717
India,1989,3,10.041044
India,1989,3,0.0
Pakistan,1989,3,18.385023
Bangladesh,1989,3,7.376729
Nepal,1989,3,16.836563
SriLanka,1989,3,51.54973
Thailand,1989,3,11.136916
VietNam,1989,3,8.993279
Indonesia,1989,3,307.7306
Philippines,1989,3,62.920315
Myanmar,1989,3,6.7004724
Cambodia,1989,3,51.428066
China,1989,3,30.405735
China,1989,3,18.293653
China,1989,3,97.17725
Japan,1989,3,68.169846
Kazakhstan,1989,3,50.602127
Iran,1989,3,47.302998
Turkiye,1989,3,35.81386
India,1989,4,0.0
India,1989,4,0.0
India,1989,4,0.0
Pakistan,1989,4,0.0
Bangladesh,1989,4,138.73192
Nepal,1989,4,0.0
SriLanka,1989,4,113.3989
Thailand,1989,4,49.5774
VietNam,1989,4,42.95414
Indonesia,1989,4,340.38422
Philippines,1989,4,68.288315
Myanmar,1989,4,0.7682991
Cambodia,1989,4,89.20554
China,1989,4,16.922663
China,1989,4,22.995838
China,1989,4,189.36469
Japan,1989,4,121.43216
Kazakhstan,1989,4,76.274574
Iran,1989,4,26.99085
Turkiye,1989,4,10.924072
India,1990,2,67.63959
India,1990,2,27.621273
India,1990,2,1.1868904
Pakistan,1990,2,62.565517
Bangladesh,1990,2,74.969284
Nepal,1990,2,0.0
SriLanka,1990,2,86.11379
Thailand,1990,2,7.028517
VietNam,1990,2,0.0
Indonesia,1990,2,234.72589
Philippines,1990,2,0.0
Myanmar,1990,2,1.2969052
Cambodia,1990,2,0.74145865
China,1990,2,46.72092
China,1990,2,1.4011525
China,1990,2,220.40343
Japan,1990,2,123.76871
Kazakhstan,1990,2,17.872398
Iran,1990,2,47.680855
Turkiye,1990,2,41.277393
India,1990,3,44.91504
India,1990,3,0.20154035
India,1990,3,0.0
Pakistan,1990,3,6.249778
Bangladesh,1990,3,156.89148
Nepal,1990,3,0.0
SriLanka,1990,3,103.85566
Thailand,1990,3,1.6052244
VietNam,1990,3,2.4679205
Indonesia,1990,3,337.33356
Philippines,1990,3,0.079567604
Myanmar,1990,3,0.7577235
Cambodia,1990,3,3.7900903
China,1990,3,70.81139
China,1990,3,0.0
China,1990,3,114.11592
Japan,1990,3,36.467083
Kazakhstan,1990,3,123.30806
Iran,1990,3,0.0
Turkiye,1990,3,0.0
India,1990,4,0.92873704
India,1990,4,9.380478
India,1990,4,0.0
Pakistan,1990,4,0.0
Bangladesh,1990,4,205.8827
Nepal,1990,4,44.525105
SriLanka,1990,4,109.29589
Thailand,1990,4,33.237057
VietNam,1990,4,31.600029
Indonesia,1990,4,244.9372
Philippines,1990,4,25.321861
Myanmar,1990,4,27.88496
Cambodia,1990,4,99.168564
China,1990,4,46.833153
China,1990,4,32.453163
China,1990,4,215.21219
Japan,1990,4,165.22237
Kazakhstan,1990,4,33.62622
Iran,1990,4,46.93853
Turkiye,1990,4,18.114214
India,1991,2,0.0
India,1991,2,10.888366
India,1991,2,0.7758596
Pakistan,1991,2,0.0
Bangladesh,1991,2,39.446575
Nepal,1991,2,5.2346287
SriLanka,1991,2,4.2122993
Thailand,1991,2,11.837475
VietNam,1991,2,0.0
Indonesia,1991,2,351.17584
Philippines,1991,2,0.0
Myanmar,1991,2,1.2997909
Cambodia,1991,2,0.9615035
China,1991,2,21.673378
China,1991,2,0.83502704
China,1991,2,106.42226
Japan,1991,2,269.15854
Kazakhstan,1991,2,5.205064
Iran,1991,2,30.947311
Turkiye,1991,2,32.385162
India,1991,3,6.6843643
India,1991,3,6.965288
India,1991,3,0.0
Pakistan,1991,3,20.29245
Bangladesh,1991,3,33.917152
Nepal,1991,3,9.778549
SriLanka,1991,3,86.32225
Thailand,1991,3,27.132093
VietNam,1991,3,17.212713
Indonesia,1991,3,201.43312
Philippines,1991,3,16.66722
Myanmar,1991,3,0.5870919
Cambodia,1991,3,7.111875
China,1991,3,69.85648
China,1991,3,10.427609
China,1991,3,133.42203
Japan,1991,3,96.86719
Kazakhstan,1991,3,23.927275
Iran,1991,3,87.75989
Turkiye,1991,3,40.003746
India,1991,4,1.1795043
India,1991,4,26.231535
India,1991,4,5.5489187
Pakistan,1991,4,0.0
Bangladesh,1991,4,68.397125
Nepal,1991,4,0.0
SriLanka,1991,4,62.245995
Thailand,1991,4,79.970764
VietNam,1991,4,29.142187
Indonesia,1991,4,401.6673
Philippines,1991,4,25.646736
Myanmar,1991,4,27.080093
Cambodia,1991,4,81.28441
China,1991,4,21.930553
China,1991,4,45.806988
China,1991,4,103.39913
Japan,1991,4,83.12873
Kazakhstan,1991,4,6.128157
Iran,1991,4,9.278482
Turkiye,1991,4,74.295334
India,1992,2,0.0
India,1992,2,0.0
India,1992,2,0.62948763
Pakistan,1992,2,0.0
Bangladesh,1992,2,40.19081
Nepal,1992,2,0.0
SriLanka,1992,2,3.304037
Thailand,1992,2,8.148849
VietNam,1992,2,0.0
Indonesia,1992,2,292.49393
Philippines,1992,2,0.0
Myanmar,1992,2,1.2970561
Cambodia,1992,2,0.7723552
China,1992,2,0.0
China,1992,2,1.9743599
China,1992,2,50.944523
Japan,1992,2,100.475075
Kazakhstan,1992,2,33.797173
Iran,1992,2,24.499199
Turkiye,1992,2,1.8153914
India,1992,3,90.89671
India,1992,3,0.2113401
India,1992,3,0.0
Pakistan,1992,3,51.234634
Bangladesh,1992,3,5.7072783
Nepal,1992,3,0.0
SriLanka,1992,3,3.8577824
Thailand,1992,3,0.7571358
VietNam,1992,3,0.0
Indonesia,1992,3,324.03888
Philippines,1992,3,0.07705692
Myanmar,1992,3,0.56588787
Cambodia,1992,3,5.160266
China,1992,3,34.68523
China,1992,3,12.097698
China,1992,3,277.55255
Japan,1992,3,124.31118
Kazakhstan,1992,3,10.006824
Iran,1992,3,63.002495
Turkiye,1992,3,9.106314
India,1992,4,4.2476077
India,1992,4,31.056816
India,1992,4,0.0
Pakistan,1992,4,25.948284
Bangladesh,1992,4,33.418118
Nepal,1992,4,15.998993
SriLanka,1992,4,146.83722
Thailand,1992,4,13.01804
VietNam,1992,4,22.912148
Indonesia,1992,4,357.02618
Philippines,1992,4,40.761734
Myanmar,1992,4,9.566026
Cambodia,1992,4,118.045105
China,1992,4,3.4860747
China,1992,4,10.77209
China,1992,4,185.2709
Japan,1992,4,125.337265
Kazakhstan,1992,4,23.238182
Iran,1992,4,46.788597
Turkiye,1992,4,30.943104
India,1993,2,4.338448
India,1993,2,0.0
India,1993,2,0.9815605
Pakistan,1993,2,7.911086
Bangladesh,1993,2,29.849548
Nepal,1993,2,0.0
SriLanka,1993,2,63.536285
Thailand,1993,2,5.8459525
VietNam,1993,2,0.0
Indonesia,1993,2,148.57172
Philippines,1993,2,0.0
Myanmar,1993,2,1.2997935
Cambodia,1993,2,0.8099916
China,1993,2,16.884293
China,1993,2,7.883754
China,1993,2,59.227493
Japan,1993,2,136.66985
Kazakhstan,1993,2,55.963898
Iran,1993,2,68.97299
Turkiye,1993,2,19.517982
India,1993,3,70.65187
India,1993,3,23.480387
India,1993,3,0.0
