Category,ID,Latitude,Longitude,Date,MODIS_Tile,VNP21A2_002_Line_Y_1km,VNP21A2_002_Sample_X_1km,VNP21A2_002_LST_Day_1KM,VNP21A2_002_QC_Day,VNP21A2_002_QC_Day_bitmask,VNP21A2_002_QC_Day_MODLAND,VNP21A2_002_QC_Day_MODLAND_Description,VNP21A2_002_QC_Day_Data_quality_flag,VNP21A2_002_QC_Day_Data_quality_flag_Description,VNP21A2_002_QC_Day_Emissivity_accuracy,VNP21A2_002_QC_Day_Emissivity_accuracy_Description,VNP21A2_002_QC_Day_LST_accuracy,VNP21A2_002_QC_Day_LST_accuracy_Description
Bangladesh,5,24.0,90.0,2013-02-02,h26v06,719.0,266.0,302.22,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-02-10,h26v06,719.0,266.0,302.3,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-02-18,h26v06,719.0,266.0,303.92,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-02-26,h26v06,719.0,266.0,304.74,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-03-06,h26v06,719.0,266.0,306.46,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-03-14,h26v06,719.0,266.0,304.88,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-03-22,h26v06,719.0,266.0,308.56,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-03-30,h26v06,719.0,266.0,307.38,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-04-07,h26v06,719.0,266.0,307.7,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2013-04-15,h26v06,719.0,266.0,304.32,97.0,0b01100001,0b01,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b01,1.5 - 2 K (Marginal performance)
